link,text,name,username,date,is_rt,n_comment,n_rt,n_quote,n_like
https://twitter.com/WWE/status/1742017794374275135#m,IF YA SMELL.....  @TheRock has come back to #WWERaw!,WWE,@WWE,"Jan 2, 2024 · 2:59 AM UTC",False,1088,9916,1856,49998
https://twitter.com/WWE/status/1745739899771183128#m,Who had the best Instagram photo of the week?!  https://www.wwe.com/gallery/the-25-best-instagram-photos-of-the-week-january-7-2024#fid-40650941,WWE,@WWE,"Jan 12, 2024 · 9:30 AM UTC",False,47,39,3,342
https://twitter.com/WWE/status/1745679499717492772#m,These #RoyalRumble crashers were RUTHLESS!  https://tube.mint.lgbt/VV5fxHfxCE4?si=naZCLWedRVreRISE,WWE,@WWE,"Jan 12, 2024 · 5:30 AM UTC",False,46,72,2,624
https://twitter.com/WWE/status/1745641992741138804#m,An All Mighty moment in the 2023 Men's #RoyalRumble Match!,WWE,@WWE,"Jan 12, 2024 · 3:00 AM UTC",False,58,213,17,2454
https://twitter.com/WWE/status/1745596687626760268#m,Outta nowhere! 😲,WWE,@WWE,"Jan 12, 2024 · 12:00 AM UTC",False,70,354,10,3853
https://twitter.com/ShawnMichaels/status/1745553485397987775#m,Thanks for stopping by the WWE Performance Center @dkelce1!,Shawn Michaels,@ShawnMichaels,"Jan 11, 2024 · 9:09 PM UTC",True,50,211,7,2344
https://twitter.com/WWE/status/1745552411459232238#m,The Tribal Chief is unfazed 🤣  @WWERomanReigns @HeymanHustle,WWE,@WWE,"Jan 11, 2024 · 9:05 PM UTC",False,124,518,27,4608
https://twitter.com/WWENXT/status/1745544817625436579#m,It was great to have @dkelce1 come out and visit the WWE Performance Center today!,WWE NXT,@WWENXT,"Jan 11, 2024 · 8:34 PM UTC",True,166,363,276,3627
https://twitter.com/WWE/status/1745542697090232757#m,Attention @NHLFlyers fans!  @GrittyNHL has the #WWEGoldenTitle AND a message for @SnoopDogg ahead of #WrestleMania in Philly 👀,WWE,@WWE,"Jan 11, 2024 · 8:26 PM UTC",False,50,141,12,1012
https://twitter.com/WWENXT/status/1745536053446865318#m,The #DustyClassic continues NEXT WEEK on #WWENXT with these two MASSIVE matchups!  Who do you have advancing to the semi-finals? 🏆   📺 8/7c on @USANetwork,WWE NXT,@WWENXT,"Jan 11, 2024 · 8:00 PM UTC",True,36,156,6,893
https://twitter.com/WWE/status/1745522222683374071#m,Available NOW on @WWEShop!  Get these all-new shirts featuring R-Truth and the rest of The Judgment Day. 😈  🛒: https://bit.ly/47q2PQN,WWE,@WWE,"Jan 11, 2024 · 7:05 PM UTC",False,64,203,13,1645
https://twitter.com/WWENXT/status/1745475655293165915#m,Take a look at @tiffstrattonwwe's eventful day as @FallonHenleyWWE's Ranch Hand.   #WWENXT,WWE NXT,@WWENXT,"Jan 11, 2024 · 4:00 PM UTC",True,41,186,21,1088
https://twitter.com/WWE/status/1745490763474178161#m,Enjoy a cold one on #NationalMilkDay just like @TheRock & @RealKurtAngle!,WWE,@WWE,"Jan 11, 2024 · 5:00 PM UTC",False,41,186,5,1366
https://twitter.com/WWE/status/1745481951421563347#m,Happy #NationalMilkDay!,WWE,@WWE,"Jan 11, 2024 · 4:25 PM UTC",False,107,531,104,4360
https://twitter.com/NXTLevelUp/status/1745480481431343404#m,Can Big Body Javi upset @JoeGacy tomorrow night on #NXTLevelUp?  https://www.wwe.com/shows/nxt-level-up/nxt-level-up-jan-12-2024,NXT Level Up,@NXTLevelUp,"Jan 11, 2024 · 4:19 PM UTC",True,40,67,5,386
https://twitter.com/WWETheBump/status/1745471298665373855#m,"Thanks for joining us on #WWETheBump, @MiaYim! 2024 is shaping up to be a big year for you and we hope you'll join us again soon! 🔥🔥🔥",WWE’s The Bump,@WWETheBump,"Jan 11, 2024 · 3:42 PM UTC",True,18,75,1,426
https://twitter.com/WWEShop/status/1745234819544441139#m,"Live, Laugh, Love! R-Truth & The Judgment Day have 2 new tees available at #WWEShop! #WWE  🛒: https://bit.ly/47q2PQN",WWEShop.com,@WWEShop,"Jan 11, 2024 · 12:03 AM UTC",True,142,547,226,4157
https://twitter.com/WWE/status/1745465612007076100#m,They weren't supposed to be in the #RoyalRumble match! What happens when WWE Superstars interfere and even STEAL entries?!  Find out NOW: https://tube.mint.lgbt/VV5fxHfxCE4?si=Erqiyu2Q4QJyJsnB,WWE,@WWE,"Jan 11, 2024 · 3:20 PM UTC",False,28,103,2,703
https://twitter.com/WWE/status/1745377509267443918#m,👀,WWE,@WWE,"Jan 11, 2024 · 9:30 AM UTC",False,104,385,19,5948
https://twitter.com/WWE/status/1745317113995173984#m,Message sent.  #SmackDown,WWE,@WWE,"Jan 11, 2024 · 5:30 AM UTC",False,70,322,7,5311
https://twitter.com/WWE/status/1745249167910314158#m,ICYMI:   Watch R-Truth's lovely tribute to The Judgment Day - https://tube.mint.lgbt/PTodBw_bhiU?si=bP4E_KlnWI7-1RV7  Now THAT'S what's up!,WWE,@WWE,"Jan 11, 2024 · 1:00 AM UTC",False,60,443,8,3888
https://twitter.com/DMcIntyreWWE/status/1745221599534461144#m,Say it to my chest,Drew,@DMcIntyreWWE,"Jan 10, 2024 · 11:10 PM UTC",True,323,727,146,14129
https://twitter.com/WWE/status/1745218967512174851#m,"The Judgment Day, The Awesome Truth and #DIY ... oh my!  THIS MONDAY on #WWERaw  8/7c @USANetwork",WWE,@WWE,"Jan 10, 2024 · 11:00 PM UTC",False,83,451,35,4463
https://twitter.com/WWENXT/status/1745203867250315520#m,"The Road to #VengeanceDay got started in a BIG way last night, but who claimed the top spot in this week's #WWENXT #WWETop10?   WATCH HERE 👉 https://tube.mint.lgbt/watch?v=s59QmCDNYZM",WWE NXT,@WWENXT,"Jan 10, 2024 · 10:00 PM UTC",True,20,85,0,586
https://twitter.com/WWE/status/1745188768900886754#m,Intercontinental Champion @Gunther_AUT returns to #WWERaw this Monday!,WWE,@WWE,"Jan 10, 2024 · 9:00 PM UTC",False,100,370,26,4508
https://twitter.com/WWENXT/status/1745173665602212012#m,NEXT WEEK on #WWENXT   🤔 A Battle Royal with a twist will determine @Real_Valkyria's next challenger 🏆 Two MASSIVE #DustyClassic Matchups 👊 @TatumPaxley & @Real_Valkyria battle @elektralopezwwe & @lolavicewwe   📺 8/7c on @USANetwork,WWE NXT,@WWENXT,"Jan 10, 2024 · 8:00 PM UTC",True,38,234,8,1198
https://twitter.com/WWE/status/1745173671432409089#m,"WWE on A&E is back!  Beginning Sunday, Feb. 25, @WWE and @AETV present new seasons of “WWE Rivals” at 8 ET/PT followed by “Biography: WWE Legends” at 9 ET/PT.  https://www.wwe.com/article/wwe-on-ae-returns-sunday-feb-25",WWE,@WWE,"Jan 10, 2024 · 8:00 PM UTC",False,66,447,42,2680
https://twitter.com/WWE/status/1745159826844381648#m,"WWE Superstar Sunday on @AETV is officially back! Relive the epic rivalries and careers of top WWE Legends with knock-out seasons of WWE Rivals & Biography: WWE Legends starting Sunday, February 25!  ms.spr.ly/6010im44j",WWE,@WWE,"Jan 10, 2024 · 7:05 PM UTC",False,70,279,39,1617
https://twitter.com/WWEonAE/status/1745158692050514164#m,"Step back into the ring with @WWE Superstar Sunday! ALL-NEW episodes of WWE Rivals & Biography: WWE Legends start February 25th at 8/7c, only on @AETV. #WWEonAE",WWE on A&E,@WWEonAE,"Jan 10, 2024 · 7:00 PM UTC",True,37,123,9,442
https://twitter.com/WWE/status/1745154589437890996#m,Can @DMcIntyreWWE become a 2-time #RoyalRumble match winner?  📍TAMPA BAY 🎟️ TICKETS ON SALE NOW: royalrumble.com,WWE,@WWE,"Jan 10, 2024 · 6:44 PM UTC",False,202,405,50,4868
https://twitter.com/FinnBalor/status/1745121747089731597#m,Can someone please change my diaper?,Finn Bálor,@FinnBalor,"Jan 10, 2024 · 4:33 PM UTC",True,537,843,128,16373
https://twitter.com/WWENXT/status/1745113268144787666#m,How it started ➡️ How it ended  Oba Femi has arrived 👊   #WWENXT,WWE NXT,@WWENXT,"Jan 10, 2024 · 4:00 PM UTC",True,40,183,9,1302
https://twitter.com/WWETheBump/status/1745110791672455663#m,TODAY at 1pm ET:  🔥 No. 1 Contender for the WWE World Heavyweight Championship @JinderMahal   💥 The O.C.’s @MiaYim   👊 #SmackDown GM @RealNickAldis   Don’t miss it! #WWETheBump,WWE’s The Bump,@WWETheBump,"Jan 10, 2024 · 3:50 PM UTC",True,97,171,54,1264
https://twitter.com/CodyRhodes/status/1745089252591915441#m,"Lincoln, NE this Friday❗️  @WWE",Cody Rhodes,@CodyRhodes,"Jan 10, 2024 · 2:24 PM UTC",True,149,329,37,3104
https://twitter.com/RealNickAldis/status/1745073148758839460#m,Today at 1pm ET; reply to the tweet below and I may answer your question live on the program. @WWETheBump #SmackDown,Nick Aldis,@RealNickAldis,"Jan 10, 2024 · 1:20 PM UTC",True,118,113,2,1001
https://twitter.com/WWE/status/1745090622023778353#m,Happy birthday to @TaminaSnuka!,WWE,@WWE,"Jan 10, 2024 · 2:30 PM UTC",False,451,807,126,8712
https://twitter.com/WWE/status/1745015123415097388#m,What a 2023 for WWE!,WWE,@WWE,"Jan 10, 2024 · 9:30 AM UTC",False,56,527,25,3412
https://twitter.com/WWE/status/1744940859424911805#m,EXCLUSIVE: New NXT North American Champion Oba Femi puts the entire locker room on notice after cashing in.  #WWENXT,WWE,@WWE,"Jan 10, 2024 · 4:34 AM UTC",False,104,403,62,2735
https://twitter.com/WWE/status/1744939801818612146#m,"EXCLUSIVE: @TonyDangeloWWE, @Stacks_WWE, and @AdrianaRizzoWWE are ready for a celebratory dinner with #TheFamily after retaining the #NXTTagTitles.    #WWENXT",WWE,@WWE,"Jan 10, 2024 · 4:30 AM UTC",False,24,145,5,942
https://twitter.com/WWE/status/1744938619658195394#m,"EXCLUSIVE: Even though she may have come up short, @gigidolin_wwe knows that @CoraJadeWWE will be feeling the effects of their match for quite some time.   #WWENXT",WWE,@WWE,"Jan 10, 2024 · 4:26 AM UTC",False,39,205,8,1243
